Browse Species,Consumed,Session,Sequence,ID,Date,Weather,Leaves,Avoid
Eugenia,47,1.1,1,Malaka,23/8/22,Cloudy,Fresh,1
Ficus,0,1.1,1,Malaka,23/8/22,Cloudy,Fresh,1
Hibiscus,0,1.1,1,Malaka,23/8/22,Cloudy,Fresh,1
Ketapung,9,1.1,1,Malaka,23/8/22,Cloudy,Fresh,1
Mango,0,1.1,1,Malaka,23/8/22,Cloudy,Fresh,1
Miracle,0,1.1,1,Malaka,23/8/22,Cloudy,Fresh,1
Mulberry,0,1.1,1,Malaka,23/8/22,Cloudy,Fresh,1
Saga,0,1.1,1,Malaka,23/8/22,Cloudy,Fresh,1
NV,1,1.1,1,Malaka,23/8/22,Cloudy,Fresh,1
Eugenia,0,1.1,2,Sayang,23/8/22,Cloudy,Fresh,1
Ficus,0,1.1,2,Sayang,23/8/22,Cloudy,Fresh,1
Hibiscus,0,1.1,2,Sayang,23/8/22,Cloudy,Fresh,1
Ketapung,3,1.1,2,Sayang,23/8/22,Cloudy,Fresh,1
Mango,0,1.1,2,Sayang,23/8/22,Cloudy,Fresh,1
Miracle,0,1.1,2,Sayang,23/8/22,Cloudy,Fresh,1
Mulberry,9,1.1,2,Sayang,23/8/22,Cloudy,Fresh,1
Saga,0,1.1,2,Sayang,23/8/22,Cloudy,Fresh,1
NV,0,1.1,2,Sayang,23/8/22,Cloudy,Fresh,1
Eugenia,12,1.1,3,Anggun,23/8/22,Cloudy,Fresh,1
Ficus,4,1.1,3,Anggun,23/8/22,Cloudy,Fresh,1
Hibiscus,0,1.1,3,Anggun,23/8/22,Cloudy,Fresh,1
Ketapung,6,1.1,3,Anggun,23/8/22,Cloudy,Fresh,1
Mango,1,1.1,3,Anggun,23/8/22,Cloudy,Fresh,1
Miracle,0,1.1,3,Anggun,23/8/22,Cloudy,Fresh,1
Mulberry,0,1.1,3,Anggun,23/8/22,Cloudy,Fresh,1
Saga,1,1.1,3,Anggun,23/8/22,Cloudy,Fresh,1
NV,0,1.1,3,Anggun,23/8/22,Cloudy,Fresh,1
Eugenia,0,1.2,1,Sayang,24/8/22,Sunny,Fresh,1
Ficus,0,1.2,1,Sayang,24/8/22,Sunny,Fresh,1
Hibiscus,0,1.2,1,Sayang,24/8/22,Sunny,Fresh,1
Ketapung,16,1.2,1,Sayang,24/8/22,Sunny,Fresh,1
Khaya,0,1.2,1,Sayang,24/8/22,Sunny,Fresh,1
Mango,0,1.2,1,Sayang,24/8/22,Sunny,Fresh,1
Miracle,0,1.2,1,Sayang,24/8/22,Sunny,Fresh,1
Mulberry,0,1.2,1,Sayang,24/8/22,Sunny,Fresh,1
Raintree,0,1.2,1,Sayang,24/8/22,Sunny,Fresh,1
Saga,0,1.2,1,Sayang,24/8/22,Sunny,Fresh,1
NV,0,1.2,1,Sayang,24/8/22,Sunny,Fresh,1
Eugenia,0,1.2,2,Wendy,24/8/22,Sunny,Fresh,1
Ficus,5,1.2,2,Wendy,24/8/22,Sunny,Fresh,1
Hibiscus,0,1.2,2,Wendy,24/8/22,Sunny,Fresh,1
Ketapung,11,1.2,2,Wendy,24/8/22,Sunny,Fresh,1
Khaya,0,1.2,2,Wendy,24/8/22,Sunny,Fresh,1
